ProductID,ProductName,Category,SubCategory,Size,Color,CostPrice,SellingPrice,Profit,StockQuantity,MinStockLevel,Supplier,LastRestocked,ImagePath,WhatsAppLink,Status,Notes
POSHAK001,Divine Krishna Poshak,Poshak,Chudi Dar,Size 3,Yellow,200,299,99,10,5,Local Supplier,2024-01-01,chudi dar poshak/yellow.jpg,https://wa.me/919173273691?text=I%20want%20to%20buy%20Divine%20Krishna%20Poshak,Active,Popular item
POSHAK002,Red Chudi Dar Poshak,Poshak,Chudi Dar,Size 2,Red,200,299,99,8,5,Local Supplier,2024-01-01,chudi dar poshak/red.jpg,https://wa.me/919173273691?text=I%20want%20to%20buy%20Red%20Chudi%20Dar%20Poshak,Active,
POSHAK003,Blue Colour Dress,Poshak,Colour Dress,Size 3,Blue,150,249,99,12,8,Local Supplier,2024-01-01,colour dress/blue.jpg,https://wa.me/919173273691?text=I%20want%20to%20buy%20Blue%20Colour%20Dress,Active,
POSHAK004,Orange Colour Dress,Poshak,Colour Dress,Size 2,Orange,150,249,99,15,8,Local Supplier,2024-01-01,colour dress/orange.jpg,https://wa.me/919173273691?text=I%20want%20to%20buy%20Orange%20Colour%20Dress,Active,
POSHAK005,Pink Colour Dress,Poshak,Colour Dress,Size 4,Pink,150,249,99,9,8,Local Supplier,2024-01-01,colour dress/pibk.jpg,https://wa.me/919173273691?text=I%20want%20to%20buy%20Pink%20Colour%20Dress,Active,
POSHAK006,Red Colour Dress,Poshak,Colour Dress,Size 3,Red,150,249,99,11,8,Local Supplier,2024-01-01,colour dress/red.jpg,https://wa.me/919173273691?text=I%20want%20to%20buy%20Red%20Colour%20Dress,Active,
POSHAK007,Yellow Colour Dress,Poshak,Colour Dress,Size 2,Yellow,150,249,99,7,8,Local Supplier,2024-01-01,colour dress/yellow.jpg,https://wa.me/919173273691?text=I%20want%20to%20buy%20Yellow%20Colour%20Dress,Low Stock,Need to restock
POSHAK008,Cotton Poshak,Poshak,Cotton,Size 3,White,120,199,79,20,10,Cotton Supplier,2024-01-01,,https://wa.me/919173273691?text=I%20want%20to%20buy%20Cotton%20Poshak,Active,
POSHAK009,Diamond Border Dress,Poshak,Diamond Border,Size 2,Pink,250,349,99,6,5,Premium Supplier,2024-01-01,,https://wa.me/919173273691?text=I%20want%20to%20buy%20Diamond%20Border%20Dress,Active,
POSHAK010,Flower Design Poshak,Poshak,Flower Design,Size 3,Multi Color,200,299,99,14,8,Local Supplier,2024-01-01,,https://wa.me/919173273691?text=I%20want%20to%20buy%20Flower%20Design%20Poshak,Active,
POSHAK011,Ful Dress,Poshak,Ful Dress,Size 4,Pink,180,279,99,8,5,Local Supplier,2024-01-01,,https://wa.me/919173273691?text=I%20want%20to%20buy%20Ful%20Dress,Active,
POSHAK012,Glitter Poshak,Poshak,Glitter,Size 2,Golden,300,399,99,5,3,Premium Supplier,2024-01-01,,https://wa.me/919173273691?text=I%20want%20to%20buy%20Glitter%20Poshak,Low Stock,Premium item
POSHAK013,Leaf Work Dress,Poshak,Leaf Work,Size 3,Green,230,329,99,9,5,Local Supplier,2024-01-01,,https://wa.me/919173273691?text=I%20want%20to%20buy%20Leaf%20Work%20Dress,Active,
POSHAK014,Moti Work Dress,Poshak,Moti Work,Size 2,White,280,379,99,7,5,Premium Supplier,2024-01-01,,https://wa.me/919173273691?text=I%20want%20to%20buy%20Moti%20Work%20Dress,Active,
POSHAK015,Moti Dress 2,Poshak,Moti Work,Size 3,Cream,290,389,99,6,5,Premium Supplier,2024-01-01,,https://wa.me/919173273691?text=I%20want%20to%20buy%20Moti%20Dress%202,Active,
POSHAK016,Net Dress,Poshak,Net,Size 4,Pink,160,259,99,12,8,Local Supplier,2024-01-01,,https://wa.me/919173273691?text=I%20want%20to%20buy%20Net%20Dress,Active,
POSHAK017,Radha Print Poshak,Poshak,Radha Print,Size 2,Blue,200,299,99,10,5,Local Supplier,2024-01-01,,https://wa.me/919173273691?text=I%20want%20to%20buy%20Radha%20Print%20Poshak,Active,
POSHAK018,Radhe Name Dress,Poshak,Radhe Name,Size 3,Red,220,319,99,8,5,Local Supplier,2024-01-01,,https://wa.me/919173273691?text=I%20want%20to%20buy%20Radhe%20Name%20Dress,Active,
POSHAK019,Radhe Radhe Poshak,Poshak,Radhe Radhe,Size 2,Multi Color,250,349,99,9,5,Local Supplier,2024-01-01,,https://wa.me/919173273691?text=I%20want%20to%20buy%20Radhe%20Radhe%20Poshak,Active,
POSHAK020,Sitare Poshak,Poshak,Sitare,Size 3,Navy Blue,190,289,99,11,8,Local Supplier,2024-01-01,,https://wa.me/919173273691?text=I%20want%20to%20buy%20Sitare%20Poshak,Active,
POSHAK021,Sunflower Poshak,Poshak,Sunflower,Size 4,Yellow,170,269,99,13,8,Local Supplier,2024-01-01,,https://wa.me/919173273691?text=I%20want%20to%20buy%20Sunflower%20Poshak,Active,
POSHAK022,Sunflowers Dress,Poshak,Sunflower,Size 2,Yellow,180,279,99,10,8,Local Supplier,2024-01-01,,https://wa.me/919173273691?text=I%20want%20to%20buy%20Sunflowers%20Dress,Active,
POSHAK023,Velvet Dress,Poshak,Velvet,Size 3,Maroon,300,399,99,5,3,Premium Supplier,2024-01-01,,https://wa.me/919173273691?text=I%20want%20to%20buy%20Velvet%20Dress,Low Stock,Luxury item
MUKUT001,Feather Mukut,Mukut,Feather,Medium,White,100,179,79,15,10,Mukut Supplier,2024-01-01,,https://wa.me/919173273691?text=I%20want%20to%20buy%20Feather%20Mukut,Active,
MUKUT002,Ganesh Mukut,Mukut,Ganesh,Large,Golden,120,199,79,8,5,Mukut Supplier,2024-01-01,,https://wa.me/919173273691?text=I%20want%20to%20buy%20Ganesh%20Mukut,Active,
MUKUT003,Net Mukut,Mukut,Net,Medium,Silver,80,149,69,12,8,Mukut Supplier,2024-01-01,,https://wa.me/919173273691?text=I%20want%20to%20buy%20Net%20Mukut,Active,
MUKUT004,White Colour Mukut,Mukut,White Colour,Small,White,70,129,59,18,10,Mukut Supplier,2024-01-01,,https://wa.me/919173273691?text=I%20want%20to%20buy%20White%20Colour%20Mukut,Active,
PAGDI001,Multicolour Pagdi,Pagdi,Multicolour,One Size,Multi Color,50,99,49,25,15,Local Supplier,2024-01-01,,https://wa.me/919173273691?text=I%20want%20to%20buy%20Multicolour%20Pagdi,Active,
COMBO001,Complete Dress Set,Combo,Full Set,Size 3,Multi Color,450,599,149,6,3,Multiple Suppliers,2024-01-01,,https://wa.me/919173273691?text=I%20want%20to%20buy%20Complete%20Dress%20Set,Active,Best seller
COMBO002,Poshak Mukut Combo,Combo,Poshak Mukut,Size 2,Golden,320,449,129,8,5,Multiple Suppliers,2024-01-01,,https://wa.me/919173273691?text=I%20want%20to%20buy%20Poshak%20Mukut%20Combo,Active,
COMBO003,Festival Special Combo,Combo,Festival,Size 3,Multi Color,500,699,199,4,2,Multiple Suppliers,2024-01-01,,https://wa.me/919173273691?text=I%20want%20to%20buy%20Festival%20Special%20Combo,Low Stock,Premium combo
