ProductID,ProductName,Category,SubCategory,Size,Color,Price,ImageURL,WhatsAppLink,Availability,Description,StockQuantity
POSHAK001,Divine Krishna Poshak,Poshak,Chudi Dar,Size 3,Yellow,299,https://drive.google.com/uc?export=view&id=1BxiMVs0XRA5nFMdKvBdBZjgmUUqptlbs74mMngDGa2o,https://wa.me/919173273691?text=I%20want%20to%20buy%20Divine%20Krishna%20Poshak,Yes,Beautiful yellow chudi dar poshak for Krishna,10
POSHAK002,Red Chudi Dar Poshak,Poshak,Chudi Dar,Size 2,Red,299,https://drive.google.com/uc?export=view&id=1BxiMVs0XRA5nFMdKvBdBZjgmUUqptlbs74mMngDGa2o,https://wa.me/919173273691?text=I%20want%20to%20buy%20Red%20Chudi%20Dar%20Poshak,Yes,Elegant red chudi dar poshak,8
POSHAK003,Blue Colour Dress,Poshak,Colour Dress,Size 3,Blue,249,https://drive.google.com/uc?export=view&id=1BxiMVs0XRA5nFMdKvBdBZjgmUUqptlbs74mMngDGa2o,https://wa.me/919173273691?text=I%20want%20to%20buy%20Blue%20Colour%20Dress,Yes,Vibrant blue colour dress,12
POSHAK004,Orange Colour Dress,Poshak,Colour Dress,Size 2,Orange,249,https://drive.google.com/uc?export=view&id=1BxiMVs0XRA5nFMdKvBdBZjgmUUqptlbs74mMngDGa2o,https://wa.me/919173273691?text=I%20want%20to%20buy%20Orange%20Colour%20Dress,Yes,Beautiful orange colour dress,15
POSHAK005,Pink Colour Dress,Poshak,Colour Dress,Size 4,Pink,249,https://drive.google.com/uc?export=view&id=1BxiMVs0XRA5nFMdKvBdBZjgmUUqptlbs74mMngDGa2o,https://wa.me/919173273691?text=I%20want%20to%20buy%20Pink%20Colour%20Dress,Yes,Lovely pink colour dress,9
POSHAK006,Red Colour Dress,Poshak,Colour Dress,Size 3,Red,249,https://drive.google.com/uc?export=view&id=1BxiMVs0XRA5nFMdKvBdBZjgmUUqptlbs74mMngDGa2o,https://wa.me/919173273691?text=I%20want%20to%20buy%20Red%20Colour%20Dress,Yes,Classic red colour dress,11
POSHAK007,Yellow Colour Dress,Poshak,Colour Dress,Size 2,Yellow,249,https://drive.google.com/uc?export=view&id=1BxiMVs0XRA5nFMdKvBdBZjgmUUqptlbs74mMngDGa2o,https://wa.me/919173273691?text=I%20want%20to%20buy%20Yellow%20Colour%20Dress,Yes,Bright yellow colour dress,7
POSHAK008,Cotton Poshak,Poshak,Cotton,Size 3,White,199,https://drive.google.com/uc?export=view&id=1BxiMVs0XRA5nFMdKvBdBZjgmUUqptlbs74mMngDGa2o,https://wa.me/919173273691?text=I%20want%20to%20buy%20Cotton%20Poshak,Yes,Comfortable cotton poshak,20
POSHAK009,Diamond Border Dress,Poshak,Diamond Border,Size 2,Pink,349,https://drive.google.com/uc?export=view&id=1BxiMVs0XRA5nFMdKvBdBZjgmUUqptlbs74mMngDGa2o,https://wa.me/919173273691?text=I%20want%20to%20buy%20Diamond%20Border%20Dress,Yes,Elegant dress with diamond border work,6
POSHAK010,Flower Design Poshak,Poshak,Flower Design,Size 3,Multi Color,299,https://drive.google.com/uc?export=view&id=1BxiMVs0XRA5nFMdKvBdBZjgmUUqptlbs74mMngDGa2o,https://wa.me/919173273691?text=I%20want%20to%20buy%20Flower%20Design%20Poshak,Yes,Beautiful poshak with flower design,14
POSHAK011,Ful Dress,Poshak,Ful Dress,Size 4,Pink,279,https://drive.google.com/uc?export=view&id=1BxiMVs0XRA5nFMdKvBdBZjgmUUqptlbs74mMngDGa2o,https://wa.me/919173273691?text=I%20want%20to%20buy%20Ful%20Dress,Yes,Complete ful dress set,8
POSHAK012,Glitter Poshak,Poshak,Glitter,Size 2,Golden,399,https://drive.google.com/uc?export=view&id=1BxiMVs0XRA5nFMdKvBdBZjgmUUqptlbs74mMngDGa2o,https://wa.me/919173273691?text=I%20want%20to%20buy%20Glitter%20Poshak,Yes,Sparkling glitter poshak,5
POSHAK013,Leaf Work Dress,Poshak,Leaf Work,Size 3,Green,329,https://drive.google.com/uc?export=view&id=1BxiMVs0XRA5nFMdKvBdBZjgmUUqptlbs74mMngDGa2o,https://wa.me/919173273691?text=I%20want%20to%20buy%20Leaf%20Work%20Dress,Yes,Dress with intricate leaf work,9
POSHAK014,Moti Work Dress,Poshak,Moti Work,Size 2,White,379,https://drive.google.com/uc?export=view&id=1BxiMVs0XRA5nFMdKvBdBZjgmUUqptlbs74mMngDGa2o,https://wa.me/919173273691?text=I%20want%20to%20buy%20Moti%20Work%20Dress,Yes,Elegant dress with moti work,7
POSHAK015,Moti Dress 2,Poshak,Moti Work,Size 3,Cream,389,https://drive.google.com/uc?export=view&id=1BxiMVs0XRA5nFMdKvBdBZjgmUUqptlbs74mMngDGa2o,https://wa.me/919173273691?text=I%20want%20to%20buy%20Moti%20Dress%202,Yes,Premium moti work dress,6
POSHAK016,Net Dress,Poshak,Net,Size 4,Pink,259,https://drive.google.com/uc?export=view&id=1BxiMVs0XRA5nFMdKvBdBZjgmUUqptlbs74mMngDGa2o,https://wa.me/919173273691?text=I%20want%20to%20buy%20Net%20Dress,Yes,Delicate net dress,12
POSHAK017,Radha Print Poshak,Poshak,Radha Print,Size 2,Blue,299,https://drive.google.com/uc?export=view&id=1BxiMVs0XRA5nFMdKvBdBZjgmUUqptlbs74mMngDGa2o,https://wa.me/919173273691?text=I%20want%20to%20buy%20Radha%20Print%20Poshak,Yes,Poshak with Radha print design,10
POSHAK018,Radhe Name Dress,Poshak,Radhe Name,Size 3,Red,319,https://drive.google.com/uc?export=view&id=1BxiMVs0XRA5nFMdKvBdBZjgmUUqptlbs74mMngDGa2o,https://wa.me/919173273691?text=I%20want%20to%20buy%20Radhe%20Name%20Dress,Yes,Dress with Radhe name embroidery,8
POSHAK019,Radhe Radhe Poshak,Poshak,Radhe Radhe,Size 2,Multi Color,349,https://drive.google.com/uc?export=view&id=1BxiMVs0XRA5nFMdKvBdBZjgmUUqptlbs74mMngDGa2o,https://wa.me/919173273691?text=I%20want%20to%20buy%20Radhe%20Radhe%20Poshak,Yes,Special Radhe Radhe themed poshak,9
POSHAK020,Sitare Poshak,Poshak,Sitare,Size 3,Navy Blue,289,https://drive.google.com/uc?export=view&id=1BxiMVs0XRA5nFMdKvBdBZjgmUUqptlbs74mMngDGa2o,https://wa.me/919173273691?text=I%20want%20to%20buy%20Sitare%20Poshak,Yes,Poshak with star design,11
POSHAK021,Sunflower Poshak,Poshak,Sunflower,Size 4,Yellow,269,https://drive.google.com/uc?export=view&id=1BxiMVs0XRA5nFMdKvBdBZjgmUUqptlbs74mMngDGa2o,https://wa.me/919173273691?text=I%20want%20to%20buy%20Sunflower%20Poshak,Yes,Bright sunflower themed poshak,13
POSHAK022,Sunflowers Dress,Poshak,Sunflower,Size 2,Yellow,279,https://drive.google.com/uc?export=view&id=1BxiMVs0XRA5nFMdKvBdBZjgmUUqptlbs74mMngDGa2o,https://wa.me/919173273691?text=I%20want%20to%20buy%20Sunflowers%20Dress,Yes,Beautiful sunflowers dress,10
POSHAK023,Velvet Dress,Poshak,Velvet,Size 3,Maroon,399,https://drive.google.com/uc?export=view&id=1BxiMVs0XRA5nFMdKvBdBZjgmUUqptlbs74mMngDGa2o,https://wa.me/919173273691?text=I%20want%20to%20buy%20Velvet%20Dress,Yes,Luxurious velvet dress,5
MUKUT001,Feather Mukut,Mukut,Feather,Medium,White,179,https://drive.google.com/uc?export=view&id=1BxiMVs0XRA5nFMdKvBdBZjgmUUqptlbs74mMngDGa2o,https://wa.me/919173273691?text=I%20want%20to%20buy%20Feather%20Mukut,Yes,Elegant feather mukut,15
MUKUT002,Ganesh Mukut,Mukut,Ganesh,Large,Golden,199,https://drive.google.com/uc?export=view&id=1BxiMVs0XRA5nFMdKvBdBZjgmUUqptlbs74mMngDGa2o,https://wa.me/919173273691?text=I%20want%20to%20buy%20Ganesh%20Mukut,Yes,Special Ganesh themed mukut,8
MUKUT003,Net Mukut,Mukut,Net,Medium,Silver,149,https://drive.google.com/uc?export=view&id=1BxiMVs0XRA5nFMdKvBdBZjgmUUqptlbs74mMngDGa2o,https://wa.me/919173273691?text=I%20want%20to%20buy%20Net%20Mukut,Yes,Delicate net mukut,12
MUKUT004,White Colour Mukut,Mukut,White Colour,Small,White,129,https://drive.google.com/uc?export=view&id=1BxiMVs0XRA5nFMdKvBdBZjgmUUqptlbs74mMngDGa2o,https://wa.me/919173273691?text=I%20want%20to%20buy%20White%20Colour%20Mukut,Yes,Pure white colour mukut,18
PAGDI001,Multicolour Pagdi,Pagdi,Multicolour,One Size,Multi Color,99,https://drive.google.com/uc?export=view&id=1BxiMVs0XRA5nFMdKvBdBZjgmUUqptlbs74mMngDGa2o,https://wa.me/919173273691?text=I%20want%20to%20buy%20Multicolour%20Pagdi,Yes,Colorful multicolour pagdi,25
COMBO001,Complete Dress Set,Combo,Full Set,Size 3,Multi Color,599,https://drive.google.com/uc?export=view&id=1BxiMVs0XRA5nFMdKvBdBZjgmUUqptlbs74mMngDGa2o,https://wa.me/919173273691?text=I%20want%20to%20buy%20Complete%20Dress%20Set,Yes,Complete Krishna dress combo set,6
