ProductID,ProductName,Category,Size,Color,Price,ImageURL,WhatsAppLink,Availability
POSHAK001,Divine Krishna Poshak,Poshak,Size 3,Yellow,299,https://drive.google.com/uc?export=view&id=1BxiMVs0XRA5nFMdKvBdBZjgmUUqptlbs74mMngDGa2o,https://wa.me/919173273691?text=I%20want%20to%20buy%20Divine%20Krishna%20Poshak,Yes
MUKUT001,Golden Mukut,Mukut,Medium,Golden,199,https://drive.google.com/uc?export=view&id=1BxiMVs0XRA5nFMdKvBdBZjgmUUqptlbs74mMngDGa2o,https://wa.me/919173273691?text=I%20want%20to%20buy%20Golden%20Mukut,Yes
MALA001,Sacred Tulsi Mala,Mala,One Size,Brown,149,https://drive.google.com/uc?export=view&id=1BxiMVs0XRA5nFMdKvBdBZjgmUUqptlbs74mMngDGa2o,https://wa.me/919173273691?text=I%20want%20to%20buy%20Sacred%20Tulsi%20Mala,No
POSHAK002,Radhe Radhe Poshak,Poshak,Size 2,Red,249,https://drive.google.com/uc?export=view&id=1BxiMVs0XRA5nFMdKvBdBZjgmUUqptlbs74mMngDGa2o,https://wa.me/919173273691?text=I%20want%20to%20buy%20Radhe%20Radhe%20Poshak,Yes
MUKUT002,Feather Mukut,Mukut,Large,White,179,https://drive.google.com/uc?export=view&id=1BxiMVs0XRA5nFMdKvBdBZjgmUUqptlbs74mMngDGa2o,https://wa.me/919173273691?text=I%20want%20to%20buy%20Feather%20Mukut,Yes
BANSURI001,Decorative Golden Bansuri,Bansuri,Small,Golden,99,https://drive.google.com/uc?export=view&id=1BxiMVs0XRA5nFMdKvBdBZjgmUUqptlbs74mMngDGa2o,https://wa.me/919173273691?text=I%20want%20to%20buy%20Decorative%20Golden%20Bansuri,Yes
POSHAK003,Velvet Dress,Poshak,Size 4,Maroon,399,https://drive.google.com/uc?export=view&id=1BxiMVs0XRA5nFMdKvBdBZjgmUUqptlbs74mMngDGa2o,https://wa.me/919173273691?text=I%20want%20to%20buy%20Velvet%20Dress,Yes
MALA002,Crystal Bead Mala,Mala,One Size,Clear,199,https://drive.google.com/uc?export=view&id=1BxiMVs0XRA5nFMdKvBdBZjgmUUqptlbs74mMngDGa2o,https://wa.me/919173273691?text=I%20want%20to%20buy%20Crystal%20Bead%20Mala,Yes
COMBO001,Complete Dress Set,Combo,Size 3,Multi Color,599,https://drive.google.com/uc?export=view&id=1BxiMVs0XRA5nFMdKvBdBZjgmUUqptlbs74mMngDGa2o,https://wa.me/919173273691?text=I%20want%20to%20buy%20Complete%20Dress%20Set,Yes
POSHAK004,Diamond Border Dress,Poshak,Size 2,Pink,349,https://drive.google.com/uc?export=view&id=1BxiMVs0XRA5nFMdKvBdBZjgmUUqptlbs74mMngDGa2o,https://wa.me/919173273691?text=I%20want%20to%20buy%20Diamond%20Border%20Dress,No
